index,x,y,z,roll,pitch,yaw,latitude,longitude,altitude,segment_distance_m,distance_traveled_m
0,-753.291259765625,-730.583740234375,0,180,0,338.14764213562,39.6819838638346,-75.7568477595174,0,0,0
1,-753.105224609375,-730.658325195313,0,180,0,338.163576126099,39.6819831937628,-75.7568455878175,0,0.200429528161422,0.200429528161422
2,-752.919067382813,-730.732849121094,0,180,0,338.181324005127,39.6819825242393,-75.7568434146925,0,0.200520144911406,0.400949673072828
3,-752.732849121094,-730.807434082031,0,180,0,338.200370788574,39.6819818541675,-75.756841240855,0,0.200599495003356,0.601549168076184
4,-752.546508789063,-730.881896972656,0,180,0,338.22310256958,39.6819811851924,-75.7568390655926,0,0.200667489698125,0.802216657774309
5,-752.360046386719,-730.956359863281,0,180,0,338.250555038452,39.6819805162172,-75.7568368889051,0,0.20078084960482,1.00299750737913
6,-752.173400878906,-731.030822753906,0,180,0,338.281810760498,39.6819798472421,-75.7568347100801,0,0.200950908599132,1.20394841597826
7,-751.986206054688,-731.105163574219,0,180,0,338.331079483032,39.6819791793636,-75.7568325248427,0,0.201416135845726,1.40536455182399
8,-751.798645019531,-731.1796875,0,180,0,338.393957138061,39.6819785098401,-75.7568303353302,0,0.201824075428907,1.60718862725289
9,-751.608825683594,-731.254516601563,0,180,0,338.53168296814,39.6819778375749,-75.7568281194552,0,0.2040362093757,1.81122483662859
10,-751.409057617188,-731.332397460938,0,180,0,339.024459838867,39.6819771378927,-75.7568257874428,0,0.21441247308093,2.02563730970952
11,-751.197204589844,-731.411315917969,0,180,0,339.915700912476,39.6819764288886,-75.7568233143553,0,0.226074828441613,2.25171213815114
12,-751.009399414063,-731.47998046875,0,180,0,339.915700912476,39.6819758120058,-75.7568211219929,0,0.199964008222022,2.45167614637316
13,-750.821533203125,-731.548706054688,0,180,0,339.915700912476,39.6819751945746,-75.7568189289179,0,0.200042293964216,2.65171844033738
14,-750.633728027344,-731.617370605469,0,180,0,339.915700912476,39.6819745776917,-75.7568167365554,0,0.199964008222022,2.8516824485594
15,-750.445861816406,-731.68603515625,0,180,0,339.915700912476,39.6819739608088,-75.7568145434805,0,0.200021333227244,3.05170378178664
16,-750.258056640625,-731.754760742188,0,180,0,339.915700912476,39.6819733433776,-75.756812351118,0,0.199984974967318,3.25168875675396
