index,x,y,z,yaw,pitch,roll,latitude,longitude,altitude,segment_distance_m,distance_traveled_m
0,-746.897216796875,-728.458862304688,0,339.52928352356,0,180,39.6820029537496,-75.7567731180187,0,0,0
1,-746.709777832031,-728.528747558594,0,339.52928352356,0,180,39.6820023259002,-75.7567709299312,0,0.200043280954991,0.200043280954991
2,-746.5224609375,-728.598693847656,0,339.52928352356,0,180,39.6820016975024,-75.7567687432688,0,0.199950249638369,0.399993530593361
3,-746.335083007812,-728.668640136719,0,339.52928352356,0,180,39.6820010691046,-75.7567665558938,0,0.200007429580975,0.600000960174335
4,-746.147644042969,-728.738586425781,0,339.52928352356,0,180,39.6820004407068,-75.7567643678063,0,0.200064611801566,0.800065571975901
5,-745.960266113281,-728.808532714844,0,339.52928352356,0,180,39.681999812309,-75.7567621804314,0,0.200007429580975,1.00007300155688
6,-745.77294921875,-728.878479003906,0,339.52928352356,0,180,39.6819991839113,-75.7567599937689,0,0.199950249638369,1.20002325119525
7,-745.585571289063,-728.948425292969,0,339.52928352356,0,180,39.6819985555135,-75.7567578063939,0,0.200007429580975,1.40003068077622
8,-745.398254394531,-729.018371582031,0,339.52928352356,0,180,39.6819979271157,-75.7567556197315,0,0.199950249638369,1.59998093041459
9,-745.210876464844,-729.08837890625,0,339.52928352356,0,180,39.6819972981695,-75.7567534323565,0,0.200028782874473,1.80000971328906
10,-745.0234375,-729.158264160156,0,339.52928352356,0,180,39.68199667032,-75.756751244269,0,0.200043280954991,2.00005299424405
11,-744.836059570313,-729.228210449219,0,339.52928352356,0,180,39.6819960419222,-75.7567490568941,0,0.200007429580975,2.20006042382503
12,-744.648681640625,-729.298156738281,0,339.52928352356,0,180,39.6819954135244,-75.7567468695191,0,0.200007429580975,2.400067853406
13,-744.461364746094,-729.368103027344,0,339.52928352356,0,180,39.6819947851266,-75.7567446828567,0,0.199950249638369,2.60001810304437
14,-744.27392578125,-729.438049316406,0,339.52928352356,0,180,39.6819941567288,-75.7567424947692,0,0.200064611801566,2.80008271484594
15,-744.086608886719,-729.507995605469,0,339.52928352356,0,180,39.6819935283309,-75.7567403081067,0,0.199950249638369,3.00003296448431
16,-743.899230957031,-729.577941894531,0,339.52928352356,0,180,39.681992899933,-75.7567381207318,0,0.200007429580975,3.20004039406528
17,-743.892700195313,-729.580383300781,0,339.52928352356,0,180,39.6819928779994,-75.7567380444943,0,0.006972181373475,3.20701257543876
18,-743.705322265625,-729.650390625,0,339.517133712769,0,180,39.6819922490533,-75.7567358571193,0,0.200028782874473,3.40704135831323
19,-743.517944335938,-729.720336914063,0,339.505151748657,0,180,39.6819916206554,-75.7567336697444,0,0.200007429580975,3.6070487878942
20,-743.330627441406,-729.790405273438,0,339.493333816528,0,180,39.6819909911609,-75.7567314830819,0,0.199992984782806,3.80704177267701
21,-743.143371582031,-729.860473632813,0,339.481679916382,0,180,39.6819903616663,-75.7567292971319,0,0.199935819341543,4.00697759201855
22,-742.9560546875,-729.930603027344,0,339.470193862915,0,180,39.6819897316234,-75.7567271104695,0,0.200014376868642,4.20699196888719
23,-742.768737792969,-730.000793457031,0,339.458873748779,0,180,39.6819891010322,-75.756724923807,0,0.200035785289901,4.4070277541771
24,-742.581420898437,-730.070983886719,0,339.447717666626,0,180,39.6819884704409,-75.7567227371445,0,0.200035785289901,4.607063539467
25,-742.394165039063,-730.141174316406,0,339.436729431152,0,180,39.6819878398497,-75.7567205511946,0,0.199978632083495,4.80704217155049
26,-742.206909179687,-730.211486816406,0,339.425905227661,0,180,39.6819872081617,-75.7567183652446,0,0.200021510159582,5.00706368171007
27,-742.019653320313,-730.28173828125,0,339.41524887085,0,180,39.6819865770221,-75.7567161792946,0,0.200000062957396,5.20706374466747
28,-741.832458496094,-730.352111816406,0,339.40475654602,0,180,39.6819859447858,-75.7567139940572,0,0.19998584116051,5.40704958582798
29,-741.645263671875,-730.422485351563,0,339.394430160522,0,180,39.6819853125495,-75.7567118088197,0,0.19998584116051,5.60703542698849
30,-741.458068847656,-730.492858886719,0,339.384269714355,0,180,39.6819846803132,-75.7567096235823,0,0.19998584116051,5.807021268149
31,-741.270874023438,-730.563293457031,0,339.37427520752,0,180,39.6819840475286,-75.7567074383448,0,0.200007327139271,6.00702859528827
32,-741.083679199219,-730.6337890625,0,339.364446640015,0,180,39.6819834141955,-75.7567052531073,0,0.200028829433895,6.20705742472216
33,-740.896545410156,-730.704284667969,0,339.354782104492,0,180,39.6819827808626,-75.7567030685824,0,0.199971711497636,6.4070291362198
34,-740.709350585938,-730.774841308594,0,339.345287322998,0,180,39.6819821469812,-75.7567008833449,0,0.200050348039123,6.60707948425892
35,-740.522216796875,-730.845397949219,0,339.335954666138,0,180,39.6819815130999,-75.7566986988199,0,0.199993236248563,6.80707272050749
36,-740.335083007813,-730.915954589844,0,339.326789855957,0,180,39.6819808792185,-75.756696514295,0,0.199993236248563,7.00706595675605
37,-740.147521972656,-730.986755371094,0,339.334079742432,0,180,39.6819802431438,-75.7566943247825,0,0.200479157356804,7.20754511411285
38,-739.959716796875,-731.0576171875,0,339.348163604736,0,180,39.6819796065207,-75.75669213242,0,0.200729123633366,7.40827423774622
39,-739.771911621094,-731.128295898438,0,339.362413406372,0,180,39.6819789715426,-75.7566899400576,0,0.200664556486722,7.60893879423294
40,-739.584106445313,-731.199035644531,0,339.376831054687,0,180,39.6819783360162,-75.7566877476951,0,0.200686062614309,7.80962485684725
41,-739.396301269531,-731.269714355469,0,339.391410827637,0,180,39.6819777010381,-75.7566855553327,0,0.200664556486722,8.01028941333397
42,-739.208435058594,-731.34033203125,0,339.406160354614,0,180,39.6819770666084,-75.7566833622577,0,0.200700197669955,8.21098961100393
