index,y,x,z,roll,yaw,pitch,latitude,longitude,altitude,segment_distance_m,distance_traveled_m
0,-753.291259765625,730.583740234375,0,0,68.1476421356201,0,0.00185429137364679,0.000968703492993606,0,0,0
1,-753.105224609375,730.658325195313,0,0,68.1635761260986,0,0.00185362136552669,0.000970374675254069,0,0.200429528161422,0.200429528161422
2,-752.919067382813,730.732849121094,0,0,68.181324005127,0,0.001852951905704,0.000972046954090819,0,0.200520144911406,0.400949673072828
3,-752.732849121094,730.807434082031,0,0,68.2003707885742,0,0.00185228189759812,0.000973719781215712,0,0.200599495003356,0.601549168076184
4,-752.546508789063,730.881896972656,0,0,68.2231025695801,0,0.00185161298605863,0.000975393704916891,0,0.200667489698125,0.802216657774309
5,-752.360046386719,730.956359863281,0,0,68.2505550384522,0,0.00185094407450492,0.000977068725194356,0,0.20078084960482,1.00299750737913
6,-752.173400878906,731.030822753906,0,0,68.281810760498,0,0.00185027516297964,0.000978745390336252,0,0.200950908599132,1.20394841597826
7,-751.986206054688,731.105163574219,0,0,68.3310794830322,0,0.00184960734802075,0.000980426990071435,0,0.201416135845726,1.40536455182399
8,-751.798645019531,731.1796875,0,0,68.3939571380615,0,0.00184893788821228,0.000982111879535478,0,0.201824075428907,1.60718862725289
9,-751.608825683594,731.254516601563,0,0,68.5316829681396,0,0.00184826568695939,0.00098381705566082,0,0.2040362093757,1.81122483662859
10,-751.409057617188,731.332397460938,0,0,69.0244598388672,0,0.00184756607126246,0.000985611602753502,0,0.21441247308093,2.02563730970952
11,-751.197204589844,731.411315917969,0,0,69.9157009124756,0,0.00184685713470856,0.000987514710898538,0,0.226074828441613,2.25171213815114
12,-751.009399414063,731.47998046875,0,0,69.9157009124756,0,0.00184624031052749,0.000989201793515154,0,0.199964008222022,2.45167614637316
13,-750.821533203125,731.548706054688,0,0,69.9157009124756,0,0.00184562293807744,0.000990889424419913,0,0.200042293964216,2.65171844033738
14,-750.633728027344,731.617370605469,0,0,69.9157009124756,0,0.0018450061139248,0.000992576507036529,0,0.199964008222022,2.8516824485594
