total_distance_traveled,x,y,z,vx,vy,vz,yaw,pitch,roll
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0,184.902084350586,169.732666015625,0.1888507604599,0.0,0.0,0.0,3.14159178733826,3.14164662361145,-0.00113534927368164
0.0004885796222501379,184.902084350586,169.732696533203,0.188363134860992,6.53885808787891e-06,-7.35822832211852e-05,-0.00284937862306833,3.14159178733826,3.1416187286377,-0.0011242626933381
0.0006101283941081311,184.902084350586,169.732696533203,0.188241586089134,5.65766504223575e-06,-6.54097020742483e-05,-0.00178406713530421,3.14159178733826,3.14161086082458,-0.00112223613541573
0.0006101283941081311,184.902084350586,169.732696533203,0.188241586089134,5.65766504223575e-06,-6.54097020742483e-05,-0.00178406713530421,3.14159178733826,3.14161086082458,-0.00112223613541573
0.0007520619544791137,184.902084350586,169.732696533203,0.188099652528763,1.31362446609273e-06,-3.78600020667363e-06,-0.000106554027297534,3.14159178733826,3.1415958404541,-0.00111830234527588
0.0007581565294070921,184.902084350586,169.732696533203,0.188105747103691,2.14026215417107e-07,-8.80151048932021e-07,4.38690185546875e-05,3.14159178733826,3.1415958404541,-0.00111830234527588
