index,x,y,z,carla_yaw,carla_bearing_yaw,roll,latitude,longitude,altitude,road_grade,segment_distance_m,distance_traveled_m,ltpENU_yaw,ltpENU_bearing_yaw
0,106.396484375,4.449376106262207,0.0,270.3907470703125,-89.60876407684007,180.0,3.996942560036132e-05,0.0009557758809064634,0.0,0.0,0.0,0.0,89.6092529296875,89.60876407684007
1,106.3978500366211,4.64937162399292,0.0,270.3907470703125,-89.6087631440668,180.0,4.176601591154849e-05,0.0009557881488535351,0.0,0.0,0.20000018036001674,0.20000018036001674,89.6092529296875,89.6087631440668
2,106.39921569824219,4.849366664886475,0.0,270.3907470703125,-89.61094968501715,180.0,4.356260193105754e-05,0.0009558004168006068,0.0,0.0,0.19999970353397512,0.3999998838939919,89.6092529296875,89.61094968501715
3,106.40057373046875,5.0493621826171875,0.0,270.3907470703125,-89.60876407684007,180.0,4.535919222803386e-05,0.0009558126162116612,0.0,0.0,0.20000012840971948,0.6000000123037114,89.6092529296875,89.60876407684007
4,106.40193939208984,5.2493577003479,0.0,270.3907470703125,-89.6087631440668,180.0,4.7155782539221036e-05,0.0009558248841587329,0.0,0.0,0.20000018036001674,0.8000001926637281,89.6092529296875,89.6087631440668
5,106.40330505371094,5.449352741241455,0.0,270.3907470703125,-89.60876407684007,180.0,4.895236857294094e-05,0.0009558371521058045,0.0,0.0,0.19999970353397512,0.9999998961977032,89.6092529296875,89.60876407684007
6,106.40467071533203,5.649348258972168,0.0,270.3907470703125,-89.61094968501715,180.0,5.074895886991726e-05,0.0009558494200528761,0.0,0.0,0.20000018036001674,1.20000007655772,89.6092529296875,89.61094968501715
7,106.4060287475586,5.849343776702881,0.0,270.3907470703125,-89.6087631440668,180.0,5.2545549152682725e-05,0.0009558616194639306,0.0,0.0,0.20000012840971948,1.4000002049674394,89.6092529296875,89.6087631440668
8,106.40739440917969,6.0493388175964355,0.0,270.3907470703125,-89.60876407684007,180.0,5.434213518640263e-05,0.0009558738874110022,0.0,0.0,0.19999970353397512,1.5999999085014145,89.6092529296875,89.60876407684007
9,106.40876007080078,6.249334335327148,0.0,270.3907470703125,-89.60876407684007,180.0,5.61387254975898e-05,0.0009558861553580739,0.0,0.0,0.20000018036001674,1.8000000888614311,89.6092529296875,89.60876407684007
10,106.41012573242188,6.449329853057861,0.0,270.3907470703125,-89.6087631440668,180.0,5.793531579456612e-05,0.0009558984233051455,0.0,0.0,0.20000018036001674,2.000000269221448,89.6092529296875,89.6087631440668
11,106.41149139404297,6.649324893951416,0.0,270.3907470703125,-89.61094968501715,180.0,5.973190181407517e-05,0.0009559106912522172,0.0,0.0,0.19999970353397512,2.199999972755423,89.6092529296875,89.61094968501715
12,106.41284942626953,6.849320411682129,0.0,270.3907470703125,-89.60876407684007,180.0,6.152849211105149e-05,0.0009559228906632717,0.0,0.0,0.20000012840971948,2.4000001011651424,89.6092529296875,89.60876407684007
13,106.41421508789062,7.049315929412842,0.0,270.3907470703125,-89.6087631440668,180.0,6.332508243644952e-05,0.0009559351586103433,0.0,0.0,0.20000018036001674,2.6000002815251593,89.6092529296875,89.6087631440668
14,106.41558074951172,7.2493109703063965,0.0,270.3907470703125,-89.6087631440668,180.0,6.512166842753686e-05,0.0009559474265574149,0.0,0.0,0.19999970353397512,2.7999999850591344,89.6092529296875,89.6087631440668
15,106.41694641113281,7.449306011199951,0.0,270.3907470703125,-89.61095061257545,180.0,6.691825446125677e-05,0.0009559596945044865,0.0,0.0,0.19999970353397512,2.9999996885931095,89.6092529296875,89.61095061257545
16,106.41830444335938,7.649302005767822,0.0,270.3907470703125,-89.6087631440668,180.0,6.871484904991121e-05,0.000955971893915541,0.0,0.0,0.20000060523588498,3.2000002938289946,89.6092529296875,89.6087631440668
17,106.41967010498047,7.849297046661377,0.0,270.3907470703125,-89.60876407684007,180.0,7.051143506942026e-05,0.0009559841618626127,0.0,0.0,0.19999970353397512,3.3999999973629698,89.6092529296875,89.60876407684007
18,106.42103576660156,8.04929256439209,0.0,270.3907470703125,-89.60876500960889,180.0,7.230802536639658e-05,0.0009559964298096843,0.0,0.0,0.20000018036001674,3.6000001777229866,89.6092529296875,89.60876500960889
19,106.42240142822266,8.249288558959961,0.0,270.3907470703125,-89.6087631440668,180.0,7.410461994084017e-05,0.000956008697756756,0.0,0.0,0.2000006571860584,3.800000834909045,89.6092529296875,89.6087631440668
20,106.42376708984375,8.449283599853516,0.0,270.3907470703125,-89.61094875745444,180.0,7.590120597456007e-05,0.0009560209657038276,0.0,0.0,0.19999970353397512,4.00000053844302,89.6092529296875,89.61094875745444
21,106.42512512207031,8.64927864074707,0.0,270.3907470703125,-89.6087631440668,180.0,7.769779199406912e-05,0.0009560331651148821,0.0,0.0,0.199999651583554,4.200000190026574,89.6092529296875,89.6087631440668
22,106.4264907836914,8.849273681640625,0.0,270.3907470703125,-89.60876500960889,180.0,7.949437801357817e-05,0.0009560454330619537,0.0,0.0,0.19999970353397512,4.399999893560549,89.6092529296875,89.60876500960889
23,106.4278564453125,9.049269676208496,0.0,270.3907470703125,-89.60876500960889,180.0,8.129097258802176e-05,0.0009560577010090253,0.0,0.0,0.2000006571860584,4.600000550746608,89.6092529296875,89.60876500960889
